rid,eu_name,authorid,match_type,host_id
1651,Bruno Bertini,A5053950593,exact,I79619799
137,Minna Kaikkonen-Määttä,A5015361259,exact,I175532246
1841,Silvia Pascoli,A5083437341,alias,I190082696
3780,Banu Karaca,A5107650046,alias,I4392738182
4168,Per Einar Pettersson Lidbom,A5009152026,fuzzy,I161593684
2245,Joseph Moran,A5090399192,exact,I4210143995
2114,Hans Jakob Wörner,A5102685236,alias,I35440088
200,Amos Tanay,A5098855457,exact,I53964585
526,Tomohisa Toda,A5103264007,alias,I181369854
670,Noam Stern-Ginossar,A5112538893,exact,I53964585
768,Federico Mingozzi,A5112323088,alias,I4210127167
4027,Giulia Giannini,A5106513059,alias,I189158943
2994,Christian Moestl,A5110645754,exact,I4387154425
2140,Jerome Wenger,A5107861039,alias,I1294671590
2267,Elena Goun,A5103258316,alias,I4392738145
3386,Vinh-Kim Nguyen,A5111263485,exact,I951315
388,Ruth Scherz-Shouval,A5084893718,exact,I53964585
4055,Stefano Benazzi,A5018599146,exact,I9360294
3386,Vinh-Kim Nguyen,A5112727221,exact,I951315
1722,Akitaka Ariga,A5020028119,exact,I118564535
740,Marc Schmidt-Supprian,A5018917875,exact,I2802619606
3802,Anna Papaeti,A5051209881,exact,I4210127711
3218,Yann Bramoullé,A5015186076,exact,I21491767
705,Noam Stern-Ginossar,A5112538893,exact,I53964585
4169,Yann Bramoullé,A5015186076,exact,I21491767
670,Noam Stern-Ginossar,A5112538893,alias,I53964585
1821,Lucio Cerrito,A5007925027,alias,I116067653
2160,Véronique Van Speybroeck,A5071451863,alias,I32597200
2128,Alexandre Tkatchenko,A5026929463,exact,I186903577
1487,Yan Lavallée,A5059881705,alias,I8204097
463,Rami Aqeilan,A5021249524,alias,I197251160
1976,Rosalind Allen,A5030956076,alias,I98677209
400,Omry Koren,A5018377158,exact,I13955877
2672,Alexandre Aubry,A5038543649,alias,I1294671590
584,Tim Vogels,A5085417824,alias,I157556583
2556,Yee Whye Teh,A5064373793,exact,I40120149
2174,Sharon Elizabeth Marie Ashbrook,A5011998317,alias,I16835326
2562,Yehuda Lindell,A5033036383,alias,I13955877
2488,Matteo Maffei,A5059351004,exact,I145847075
3313,Harriet Hawkins,A5004391156,exact,I184558857
3629,Alexander Schütz,A5053733727,alias,I161103922
2504,David Atienza Alonso,A5074236306,alias,I5124864
3663,Karin Roelofs,A5087340678,alias,I145872427
2812,Baptiste Sirjean,A5025630197,alias,I1294671590
900,Björn Erik Ake Nilsson,A5082274946,fuzzy,I187531555
1418,Velle Toll,A5046636343,alias,I56085075
2026,Chih-Jen Shih,A5084655324,alias,I35440088
2247,Henry Dube,A5042562320,alias,I181369854
2759,Xiaodong Liang,A5063637646,alias,I96673099
787,Marc Vaudel,A5037607788,alias,I4432739
2819,Gerasimos Konstantatos,A5000051253,exact,I179630473
903,Jan Herman Veldink,A5069816083,alias,I3018483916
1066,Fredrik Jutfelt,A5005103518,exact,I204778367
3687,Kenneth Smith,A5020926211,alias,I98677209
3295,Tobias Kuemmerle,A5060331729,alias,I39343248
3140,Janne Tukiainen,A5057106966,alias,I155660961
3316,Stefanie Walter,A5004723245,exact,I202697423
229,Jonathan Lawrence Marchini,A5051043751,fuzzy,I40120149
962,Caroline Klaver,A5029529953,alias,I2801952686
1339,Alberto Enciso,A5021895389,alias,I134820265
3939,Lasse Vilien Sørensen,A5056770044,alias,I4210142438
2563,Michal Koucky,A5079600090,exact,I21250087
3334,Giuliano Di Baldassarre,A5050776780,exact,I123387679
2706,Kulah Haluk,A5045177705,alias,I201799495
1643,Sedat Nizamoglu,A5009830839,exact,I1351752
1228,Henning Jacob Jessen,A5030496315,alias,I161046081
339,Lars Jansen,A5076348351,alias,I40120149
684,Benedikt Kaufer,A5081629994,alias,I75951250
2743,Olga Fink,A5079637160,exact,I5124864
3523,Marc Anton Luy,A5090508615,fuzzy,I138211613
2920,Víctor Antonio De La Peña O'Shea,A5084324626,alias,I4210085895
453,Florian Christoph Bassermann,A5059538708,fuzzy,I2802619606
2145,Dan Oron,A5046587873,alias,I53964585
2622,Stelios Timotheou,A5024136638,exact,I34771391
1068,Mederic Diard,A5103264008,exact,I1850255
3473,Maria Melchior,A5020661226,alias,I154526488
355,Carolina Hagberg,A5006562733,alias,I28166907
2071,Tom De Greef,A5054155955,alias,I83019370
2909,Bastian Joachim Max Etzold,A5025897477,fuzzy,I31512782
3074,Arjen Van Der Wel,A5082408263,exact,I32597200
645,Julie Perroy,A5033599123,alias,I1294671590
659,Thomas Mrsic-Flogel,A5057225739,alias,I45129253
2829,Agnese Seminara,A5079450620,alias,I83816512
1732,John Travers,A5057189106,alias,I32062511
