rid,eu_name,authorid,match_type,host_id,passed,n_papers,source
3731,Giuliano Mori,A5109447583,alias,,True,23,round4_semtie
3744,Enrique Jiménez,A5109359445,alias,I8204097,True,18,round4_semtie
3750,Sanjukta Sunderason,A5012699443,alias,,True,19,round4_semtie
3754,Sidh Losa Mendiratta,A5072060304,exact,,True,4,round4_semtie
3755,Silke Felber,A5075534535,exact,,False,71,round4_maxpapers
3764,Karen Desmond,A5049161736,exact,,True,48,round4_semtie
3766,Lena Henningsen,A5064914728,exact,,True,30,round4_semtie
3768,Susana Viegas,A5025252638,exact,I83558840,True,55,round4_semtie
3773,Eva Ulrike Pirker,A5008012882,exact,,True,106,round4_semtie
3775,Miriam Edlich-Muth,A5003082579,exact,,True,24,round4_semtie
3776,Nicola Carpentieri,A5074924669,alias,I138689650,True,93,round4_semtie
3782,Quentin Landenne,A5021081743,alias,,True,52,round4_semtie
3786,Andre Tavares,A5045725977,alias,I182534213,True,23,round4_semtie
3788,Eva-Maria Troelenberg,A5084590851,exact,,True,62,round4_semtie
3791,Timo Mueller,A5113212927,alias,,False,187,round4_maxpapers
3802,Anna Papaeti,A5051209881,exact,I4210127711,True,15,round4_semtie
3804,Julia Lajta-Novak,A5066285044,fuzzy,I129774422,True,56,round4_semtie
3817,Valentina Arena,A5001005124,exact,I45129253,True,58,round4_semtie
3826,Julian Henriques,A5043284977,exact,,True,49,round4_semtie
3829,J. Griffith Rollefson,A5009861181,exact,,True,22,round4_semtie
3832,Massimo Leone,A5091416153,alias,I55143463,True,290,round4_semtie
3842,Hugh Alexander Gervase Houghton,A5043545359,fuzzy,,False,6,round4_maxpapers
3844,Beate Fricke,A5086232926,alias,,True,105,round4_semtie
3850,Jill Walker Rettberg,A5069492392,exact,I4432739,True,72,round4_semtie
3854,Marianne Maeckelbergh,A5006840334,alias,,True,25,round4_semtie
3857,Matteo Martelli,A5039317288,exact,I9360294,True,128,round4_semtie
3868,Christian Robert Lange,A5101436003,fuzzy,I193662353,False,138,round4_maxpapers
3871,Monika Salzbrunn,A5073286080,alias,I97565354,True,174,round4_semtie
3874,Livia Holden,A5080897680,alias,I1294671590,True,98,round4_semtie
3875,Eyal Weizman,A5029924739,alias,,True,156,round4_semtie
3878,Erik Bähre,A5002956724,exact,I121797337,True,41,round4_semtie
3879,Katarzyna Marciniak,A5016295413,alias,I4654613,True,93,round4_semtie
3887,Sandra Ponzanesi,A5063365715,alias,I193662353,True,117,round4_semtie
3890,Maria Margarida De Sa Calafate Ribeiro,A5040523449,fuzzy,,True,319,round4_semtie
3901,Jutta Bolt,A5065440777,alias,I169381384,True,68,round4_semtie
3903,Eugene Costello,A5029474150,exact,,True,20,round4_semtie
