rid,us_name,authorid,match_type,host_id
2213,Faez Ahmed,A5108910035,exact,I63966007
1780,Tanushree Mitra,A5049845658,exact,I201448701
1623,Murat Arcak,A5093988643,alias,I95457486
2907,Jie Ding,A5100625885,alias,I130238516
2706,Chi Zhang,A5100458257,exact,I165690674
1640,Song Gao,A5101938899,alias,I135310074
1276,Shannon Roberts,A5070684238,alias,I24603500
2416,David C Podgorski,A5074201260,fuzzy,I192396691
814,Wesley C Sanders,A5088464247,fuzzy,I201917954
635,Richard C Flagan,A5012711441,fuzzy,I122411786
2089,Bryan S Kim,A5000081394,fuzzy,I70983195
2894,Kerstin A Lehnert,A5057736062,fuzzy,I78577930
1130,Brian Jicha,A5068582901,alias,I135310074
720,Weihang Zhu,A5072028806,alias,I44461941
2930,Douglas R MacAyeal,A5083559036,fuzzy,I40347166
2993,Charles D Brown,A5017158416,fuzzy,I32971472
1413,Robert G Spencer,A5038898780,fuzzy,I103163165
1320,Yan Wang,A5100322502,alias,I33213144
2642,Ken Frank,A5104360637,alias,I87216513
2971,Jessica E Garb,A5001309106,fuzzy,I133738476
2859,James W Moffett,A5043163437,fuzzy,I1174212
2978,Simon Laflamme,A5009338916,exact,I173911158
1320,Yan Wang,A5083516425,alias,I33213144
218,Chen Sun,A5101488443,exact,I27804330
1315,Terrence J Sejnowski,A5044141636,fuzzy,I36258959
945,Paul Ruth,A5072444330,exact,I114027177
1778,Donald E Martin,A5038657872,fuzzy,I137902535
1988,Takamitsu Ito,A5049005458,exact,I130701444
1732,Christopher J Zappa,A5059238662,fuzzy,I78577930
2830,David L Nidever,A5014732953,fuzzy,I23732399
2465,Melissa Burt,A5048639636,alias,I92446798
1666,Brianna Mount,A5022672526,alias,I75350188
2810,Zhonghua Xu,A5037231596,exact,I859038795
2007,Peter Barry,A5052302040,alias,I66958751
1249,Derk Joester,A5109268288,alias,I111979921
2643,Kaitlin E Mallouk,A5084215296,fuzzy,I44265643
2900,Rebecca B Neumann,A5018422134,fuzzy,I201448701
2459,Achim D Herrmann,A5040002071,fuzzy,I121820613
969,Venkattraman Ayyaswamy,A5080329454,alias,I156087764
1655,Ping Yang,A5106266355,alias,I91045830
516,Claudia Ratti,A5034860260,alias,I44461941
2547,Simon Wing,A5041761983,alias,I145311948
2222,Konstantin Bukhryakov,A5043699263,alias,I19700959
2762,Deliang Fan,A5047916979,alias,I55732556
2546,Anna S Grinath,A5006165439,fuzzy,I106969075
1126,Mike Williams,A5101764947,alias,I63966007
2477,Xin Zhang,A5100327617,alias,I111088046
1301,Vicki P Losick,A5011795990,fuzzy,I103531236
1969,MONICA NESBITT,A5031320421,exact,I592451
518,William T Ross,A5029977888,fuzzy,I158012942
1845,Meghan E Huber,A5045432789,fuzzy,I24603500
2984,Dawei Zhou,A5022696348,exact,I859038795
1289,Fatiha Benmokhtar,A5034352124,alias,I165102784
965,Xuqing Wu,A5101263473,exact,I44461941
1763,Pei Sun,A5016004165,alias,I223532165
2453,Hamidreza Aghasi,A5037801789,alias,I204250578
244,Philip T Gressman,A5073463363,fuzzy,I79576946
1978,Ryan W Webb,A5034011859,fuzzy,I12834331
2387,Cheng Wang,A5101782463,alias,I173911158
1568,Xiaorui Liu,A5072369461,exact,I137902535
2162,Kaushik Ragunathan,A5034301215,alias,I6902469
983,Allison M Louthan,A5060073111,fuzzy,I189590672
2255,Deanna M Arble,A5054185816,fuzzy,I102461120
2882,Grigory Fedyukovich,A5027818967,alias,I103163165
1565,Hua Wei,A5100777770,alias,I55732556
718,Benjamin Nachman,A5054491740,alias,I97018004
1801,Lei S Li,A5100440358,fuzzy,I74775410
303,Jena E Johnson,A5009853422,fuzzy,I27837315
2106,YANG YANG,A5100733872,alias,I26538001
1743,Stephanie J Galla,A5025507139,fuzzy,I120156002
