row_id,AwardNumber,PrincipalInvestigator,OrganizationState,inst_name,host_openalex_id,matched_name,method,relevance,ror
152,"=""2543029""",Wentao Tang,NC,North Carolina State University,I137902535,North Carolina State University,exact,346100.38,https://ror.org/04tj63d06
153,"=""2543958""",Sui Yang,AZ,Arizona State University,I55732556,Arizona State University,exact,309255.1,https://ror.org/03efmqc40
154,"=""2543926""",Xueqing Liu,NJ,Stevens Institute of Technology,I108468826,Stevens Institute of Technology,exact,100096.36,https://ror.org/02z43xh36
155,"=""2540176""",Ziyuan Guo,OH,Children's Hospital Medical Center,I1285204247,Cincinnati Children's Hospital Medical Center,fuzzy,211412.81,https://ror.org/01hcyya48
156,"=""2542045""",Aaron Sternbach,MD,"University of Maryland, College Park",I66946132,"University of Maryland, College Park",exact,517402.7,https://ror.org/047s2c258
157,"=""2555991""",Christopher J Caruvana,IN,Indiana University,I592451,Indiana University,exact,111088.12,https://ror.org/01kg8sb98
158,"=""2543428""",Daniel A Keedy,NY,Research Foundation CUNY - Advanced Science Research Center,,,pending,,
159,"=""2544140""",Noelia Grande Gutiérrez,PA,Carnegie Mellon University,I74973139,Carnegie Mellon University,exact,525784.25,https://ror.org/05x2bcf33
160,"=""2543108""",Xiaomei Wang,KY,University of Louisville Research Foundation Inc,I142740786,University of Louisville,exact,197311.9,https://ror.org/01ckdn478
161,"=""2544600""",Duri Long,IL,Northwestern University,I111979921,Northwestern University,exact,445985.97,https://ror.org/000e0be47
162,"=""2543986""",Souti Chattopadhyay,CA,University of Southern California,I1174212,University of Southern California,exact,471502.03,https://ror.org/03taz7m60
163,"=""2544698""",Shivani Ahuja,OR,Reed College,I55486353,Reed College,exact,42447.01,https://ror.org/00a6ram87
164,"=""2623250""",Yuan Liu,NC,North Carolina State University,I137902535,North Carolina State University,exact,346100.38,https://ror.org/04tj63d06
165,"=""2541790""",Liana T Burghardt,PA,Pennsylvania State Univ University Park,,,pending,,
166,"=""2540912""",Luis Zaman,MI,Regents of the University of Michigan - Ann Arbor,I27837315,University of Michigan,exact,177072.02,https://ror.org/00jmfr291
167,"=""2542558""",Heather Feaga,NY,Cornell University,I205783295,Cornell University,exact,588634.94,https://ror.org/05bnh6r87
168,"=""2540408""",John King,NM,University of New Mexico,I169521973,University of New Mexico,exact,253756.72,https://ror.org/05fs6jp91
169,"=""2544658""",Zhiyuan Li,IL,Toyota Technological Institute at Chicago,I160992636,Toyota Technological Institute at Chicago,exact,69451.01,https://ror.org/02sn5gb64
170,"=""2544434""",Zaoxing Liu,MD,"University of Maryland, College Park",I66946132,"University of Maryland, College Park",exact,517402.7,https://ror.org/047s2c258
171,"=""2542305""",Sangjin Kim,IL,University of Illinois at Urbana-Champaign,,,pending,,
172,"=""2540890""",Zhiquan Shu,WA,University of Washington,I201448701,University of Washington,exact,658461.0,https://ror.org/00cvxb145
173,"=""2539043""",Travis W Sawyer,AZ,University of Arizona,I138006243,University of Arizona,exact,348347.97,https://ror.org/03m2x1q45
174,"=""2544278""",Tathagata Srimani,PA,Carnegie Mellon University,I74973139,Carnegie Mellon University,exact,525784.25,https://ror.org/05x2bcf33
175,"=""2544032""",Peipei Zhou,RI,Brown University,I27804330,Brown University,exact,291379.72,https://ror.org/05gq02987
176,"=""2541984""",Wolfgang Pfaff,IL,University of Illinois at Urbana-Champaign,,,pending,,
177,"=""2540679""",Gang Qiu,MN,University of Minnesota-Twin Cities,I130238516,University of Minnesota,exact,152130.84,https://ror.org/017zqws13
178,"=""2527737""",Jyoti Champanerkar,NJ,William Paterson University,I127328727,William Paterson University,exact,47362.85,https://ror.org/00k3ayt93
179,"=""2543250""",Maitraye Das,MA,Northeastern University,I12912129,Northeastern University,exact,198609.38,https://ror.org/04t5xt781
180,"=""2543289""",Styliani Avraamidou,WI,University of Wisconsin-Madison,I135310074,University of Wisconsin–Madison,exact,732044.5,https://ror.org/01y2jtd41
181,"=""2540992""",Gong Chen,GA,Georgia Tech Research Corporation,I130701444,Georgia Institute of Technology,exact,45429.36,https://ror.org/01zkghx44
182,"=""2542524""",John J Blazeck,GA,Georgia Tech Research Corporation,I130701444,Georgia Institute of Technology,exact,45429.36,https://ror.org/01zkghx44
183,"=""2543124""",Ana Colaco Morais,KS,University of Kansas Center for Research Inc,,,pending,,
