rid,us_name,authorid,match_type,host_id,source,n_papers
7711,Filippo Coletti,A5070538204,alias,I130238516,round2_inst,186
7712,Lirong Xia,A5089639500,alias,I165799507,round2_inst,254
7713,Alexandra Meliou,A5019048013,alias,I24603500,round2_inst,108
7714,James Howison,A5034085206,alias,I86519309,round3_semantic,137
7715,Jeff Clune,A5112191507,exact,I12834331,round2_inst,171
7716,Lori A Dalton,A5037999551,fuzzy,I52357470,round2_inst,77
7717,Evan A Scott,A5037038581,fuzzy,I111979921,round2_inst,134
7718,Takeshi Sakamoto,A5103342323,alias,I185443292,round3_semantic,182
7719,Yanjun Qi,A5101887931,exact,I51556381,round2_inst,196
7720,Arnab Nandi,A5001906560,exact,I52357470,round2_inst,107
7721,Jacob Sorber,A5008494826,alias,I8078737,round2_inst,75
7722,Marc Libault,A5000433156,exact,,name_unique,93
7723,Catherine L Anderson,A5062049873,alias,I205783295,round2_inst,85
7724,Johan Larsson,A5052059941,alias,I66946132,round3_semantic,157
7725,Elaine Shi,A5089202539,alias,I66946132,round2_inst,321
7726,Ran Dai,A5043329858,alias,I173911158,round2_inst,180
7727,Eunsoo Kim,A5100604435,exact,I1338124936,round3_semantic,111
7729,Xin Ge,A5020678188,exact,I103635307,round2_inst,147
7730,Selcuk Uluagac,A5019145852,alias,I19700959,round3_semantic,183
7731,Honglak Lee,A5108652283,exact,I27837315,round2_inst,410
7733,Tomasz Arodz,A5077519452,exact,,name_unique,61
7734,Yingda Cheng,A5002089116,alias,I87216513,round2_inst,99
7735,Minlan Yu,A5035157838,exact,I1174212,round2_inst,134
7736,Riccardo Lattanzi,A5021939210,exact,,name_unique,155
7737,Ismail Guvenc,A5016722903,exact,I19700959,round2_inst,614
7739,Oliver Kosut,A5055511546,exact,I55732556,round2_inst,184
7740,Grace Hui Yang,A5002485529,exact,I184565670,round3_semantic,118
7741,Yan Wan,A5029213376,alias,I123534392,round2_inst,309
7742,Ram Dixit,A5061521901,exact,I204465549,round2_inst,96
7743,Sarah Liljegren,A5023524817,alias,I368840534,round2_inst,33
7744,Scott D Baalrud,A5049989679,fuzzy,I126307644,round2_inst,231
7745,Lucia Strader,A5004608045,alias,I204465549,round2_inst,123
7747,Laura L Colgin,A5063702121,fuzzy,I86519309,round2_inst,71
7748,Bora Gencturk,A5069702610,exact,,name_unique,137
