rid,eu_name,authorid,match_type,host_id,source
2351,Sebastien Perrier,A5014057252,exact,I39555362,round2_inst
2352,Jose Julian Aleman Lara,A5054968040,fuzzy,,round4_semtie
2353,Rebecca Jane Miriam Goss,A5111875558,exact,,name_unique
2354,Erik Petrus Antonius Maria Bakkers,A5041376320,fuzzy,I98358874,round4_semtie
2355,Sebastian Polarz,A5023573203,exact,,name_unique
2356,Daniel Maspoch Comamala,A5030689035,exact,,name_unique
2357,Ruth Maria Gschwind,A5026792325,exact,,name_unique
2358,Molly Stevens,A5023743086,exact,,round3_semantic
2359,Olivier Berteau,A5062031836,exact,,round3_semantic
2360,Jeroen Johannes Lambertus Maria Cornelissen,A5048407450,alias,I94624287,round2_inst
2361,Rachel Kerry O'Reilly,A5050816150,alias,I79619799,round2_inst
2362,Magnus Rueping,A5071153001,exact,,name_unique
2363,Martin Albrecht,A5032762987,exact,I118564535,round2_inst
2364,Liberato Manna,A5025956413,exact,I30771326,round3_semantic
2365,Stephen Taylor Liddle,A5086963679,fuzzy,I28407311,round3_semantic
2366,Gergely Neu,A5077167635,exact,,name_unique
2367,Andreas Geiger,A5016606943,exact,I8087733,round3_semantic
2368,Jerónimo Castrillón Mazo,A5019339903,exact,,round4_semtie
2369,Christos Tzamos,A5027430783,exact,,name_unique
2370,Ori Lahav,A5102734862,exact,I16391192,round2_inst
2371,Klim Efremenko,A5083692440,exact,,name_unique
2372,Gil Cohen,A5018113933,exact,I16391192,round2_inst
2374,Joanna Bergström,A5065240151,exact,,name_unique
2375,Serena Villata,A5016281730,exact,I1294671590,round4_semtie
2376,Wojciech Czerwiński,A5113969130,exact,,name_unique
2377,Marco Guarnieri,A5069694679,exact,,name_unique
2378,Ján Pich,A5059921367,exact,,name_unique
2379,Yakir Vizel,A5024975162,exact,,name_unique
2380,Rayna Dimitrova,A5059464456,exact,I4210128801,round2_inst
2381,Michał Pilipczuk,A5000479623,exact,I4654613,round4_semtie
2382,Marcel Böhme,A5005260100,exact,,round3_semantic
2383,Maria A Zuluaga,A5032634346,fuzzy,I1902872,round2_inst
2384,Jesper Nederlof,A5068357631,exact,,name_unique
2385,Robbert Krebbers,A5029418370,exact,,name_unique
2386,Sebastian Stich,A5070976409,exact,,name_unique
2387,Manuel Gomez Rodriguez,A5042180520,exact,I149899117,round2_inst
2388,Ekaterina Viktorovna Shutova,A5016184654,fuzzy,I887064364,round2_inst
2389,Sayan Bhattacharya,A5103251160,exact,I39555362,round2_inst
2390,Michal Feldman,A5103282352,exact,I16391192,round3_semantic
2391,Matthias Niessner,A5110811088,exact,,name_unique
2392,Ambrus Kaposi,A5047340010,exact,,name_unique
2393,Jan Kretinsky,A5074485601,exact,,round3_semantic
2394,Dan Garber,A5019533927,exact,I174306211,round2_inst
2395,Alexandru Ioan Tomescu,A5063897224,alias,I133731052,round2_inst
2396,Gerhard Neumann,A5110467801,exact,I102335020,round4_semtie
2397,Soren Pirk,A5022418359,exact,,round3_semantic
2398,Srikanth Srinivasan,A5025305994,exact,I124055696,round2_inst
2399,Philipp Hennig,A5022872779,exact,,name_unique
2400,Sebastian Erdweg,A5059992246,exact,,name_unique
2401,Szymon Toruńczyk,A5085711958,exact,,name_unique
2402,Bart Bogaerts,A5089527287,exact,,name_unique
2403,Fabrizio Montesi,A5000566520,exact,,name_unique
2404,Claudio Orlandi,A5028570693,exact,I204337017,round2_inst
2405,Carola Doerr,A5040561209,exact,I1294671590,round4_semtie
2406,Evangelos Kalogerakis,A5003312344,exact,,name_unique
2407,Søren Hauberg,A5072186051,exact,,name_unique
2408,Katrina Ligett,A5076701535,exact,I197251160,round2_inst
2409,Thomas Schneider,A5100724917,exact,I31512782,round2_inst
2410,Maria Naya Plasencia,A5045303245,exact,,round3_semantic
2411,Aida Todri-Sanial,A5022136174,exact,I83019370,round2_inst
2412,Kasper Green Larsen,A5013551063,exact,I204337017,round2_inst
2413,Zvika Brakerski,A5023852532,exact,I53964585,round2_inst
2414,Maud Marchal,A5006521642,exact,,round4_semtie
2415,Julien Mairal,A5062817741,exact,,name_unique
2416,Nicolas Padoy,A5071976104,exact,,name_unique
2417,Andre Martins,A5007473986,exact,,round4_semtie
2418,Nicolas Benoit P Gillis,A5040368041,fuzzy,I130929987,round2_inst
2419,Anthony Lin,A5014871148,exact,,round3_semantic
2420,Arzucan Ozgur,A5030252794,exact,,name_unique
2421,Bernhard Kainz,A5078127596,exact,I181369854,round2_inst
2422,Jasmin Christian Blanchette,A5079200257,exact,,name_unique
2423,Hayley Hung,A5061353073,exact,I98358874,round2_inst
2424,Maks Ovsjanikov,A5072368950,exact,,round4_semtie
2425,Thomas Vidick,A5019616211,exact,I53964585,round2_inst
2427,Sebastian Faust,A5066436044,exact,I31512782,round2_inst
2428,Frank Hutter,A5031002895,exact,I161046081,round2_inst
2429,Barbara Plank,A5088832285,exact,I8204097,round2_inst
